,X1
15/08/2012 16:10,0
15/08/2012 16:15,0
15/08/2012 16:20,0
15/08/2012 16:25,14.22
15/08/2012 16:30,9.48
15/08/2012 16:35,4.74
15/08/2012 16:40,9.48
15/08/2012 16:45,8.292
15/08/2012 16:50,10.668
15/08/2012 16:55,4.74
15/08/2012 17:00,10.662
15/08/2012 17:05,40.29
15/08/2012 17:10,27.258
15/08/2012 17:15,7.11
15/08/2012 17:20,2.37
15/08/2012 17:25,3.558
15/08/2012 17:30,7.11
15/08/2012 17:35,3.552
15/08/2012 17:40,3.558
15/08/2012 17:45,3.552
15/08/2012 17:50,5.928
15/08/2012 17:55,3.552
15/08/2012 18:00,1.188
15/08/2012 18:05,0
15/08/2012 18:10,0
